"","party","name","ngirls","totchi","aauw"
"1",1,"ABERCROMBIE, NEIL",0,0,100
"2",1,"ACKERMAN, GARY L.",1,3,88
"3",2,"ADERHOLT, ROBERT B.",0,0,0
"4",1,"ALLEN, THOMAS H.",2,2,100
"5",1,"ANDREWS, ROBERT E.",2,2,100
"6",2,"ARCHER, W.R.",3,7,0
"7",2,"ARMEY, RICHARD K.",1,5,0
"8",2,"BACHUS, SPENCER",2,5,0
"9",1,"BAESLER, SCOTTY",1,2,75
"10",2,"BAKER, RICHARD H.",1,2,0
"11",1,"BALDACCI, JOHN E.",0,1,100
"12",2,"BALLENGER, CASS",3,3,0
"13",1,"BARCIA, JAMES A.",0,0,63
"14",2,"BARR, BOB",1,4,0
"15",1,"BARRETT, THOMAS M.",1,2,88
"16",2,"BARRETT, WILLIAM E.",2,4,38
"17",2,"BARTLETT, ROSCOE G.",4,10,0
"18",2,"BARTON, JOE L.",2,3,0
"19",2,"BASS, CHARLES F.",1,2,25
"20",2,"BATEMAN, HERBERT H.",1,2,13
"21",1,"BECERRA, XAVIER",2,2,100
"22",1,"BENTSEN, KENNETH",2,2,100
"23",2,"BEREUTER, DOUGLAS K.",0,2,13
"24",1,"BERMAN, HOWARD L.",2,2,100
"25",1,"BERRY, ROBERT M.",1,2,63
"26",2,"BILBRAY, BRIAN P.",3,5,25
"27",2,"BILIRAKIS, MICHAEL",0,2,0
"28",1,"BISHOP, SANFORD D., JR.",0,0,88
"29",1,"BLAGOJEVICH, ROD R.",1,1,100
"30",2,"BLILEY, THOMAS J.",1,2,0
"31",1,"BLUMENAUER, EARL",1,2,100
"32",2,"BLUNT, ROY",1,3,13
"33",2,"BOEHLERT, SHERWOOD L.",3,4,88
"34",2,"BOEHNER, JOHN A.",2,2,0
"35",2,"BONILLA, HENRY",1,2,13
"36",1,"BONIOR, DAVID E.",1,3,75
"37",2,"BONO, SONNY",3,4,0
"38",1,"BORSKI, ROBERT A., JR.",4,5,63
"39",1,"BOSWELL, LEONARD L.",2,3,88
"40",1,"BOUCHER, FREDERICK C.",0,0,88
"41",1,"BOYD, F. ALLEN, JR.",1,3,75
"42",2,"BRADY, KEVIN",0,0,0
"43",1,"BROWN, CORRINE",1,1,100
"44",1,"BROWN, GEORGE E., JR.",0,6,100
"45",1,"BROWN, SHERROD",2,2,100
"46",2,"BRYANT, EDWARD G.",0,3,0
"47",2,"BUNNING, JIM",5,9,0
"48",2,"BURR, RICHARD M.",0,2,25
"49",2,"BURTON, DANNY L.",2,3,0
"50",2,"BUYER, STEVE",1,2,13
"51",1,"CALLAHAN, HERBERT L. (SONNY)",1,5,0
"52",2,"CALVERT, KEN",0,0,0
"53",2,"CAMP, DAVID LEE",0,1,0
"54",2,"CAMPBELL, TOM",0,0,38
"55",2,"CANADY, CHARLES T.",0,0,0
"56",2,"CANNON, CHRISTOPHER B.",5,7,13
"57",1,"CAPPS, WALTER",2,3,100
"58",1,"CARDIN, BENJAMIN L.",1,2,100
"59",1,"CARSON, JULIA M.",1,2,88
"60",2,"CASTLE, MICHAEL N.",0,0,63
"61",2,"CHABOT, STEVEN",1,2,0
"62",2,"CHAMBLISS, C. SAXBY",1,2,0
"63",2,"CHENOWETH, HELEN P.",1,2,0
"64",2,"CHRISTENSEN, JON LYNN",0,0,0
"65",1,"CLAY, WILLIAM",2,3,100
"66",1,"CLAYTON, EVA",1,4,100
"67",1,"CLEMENT, ROBERT N.",2,4,75
"68",1,"CLYBURN, JAMES E.",3,3,100
"69",2,"COBLE, HOWARD",0,0,0
"70",2,"COBURN, THOMAS A.",3,3,0
"71",2,"COLLINS, MICHAEL A. (MAC)",2,4,13
"72",2,"COMBEST, LARRY E.",1,2,0
"73",1,"CONDIT, GARY A.",1,2,63
"74",1,"CONYERS, JOHN, JR.",0,2,100
"75",2,"COOK, MERRILL A.",3,5,0
"76",2,"COOKSEY, JOHN CHARLES",3,3,13
"77",1,"COSTELLO, JERRY F.",1,3,63
"78",2,"COX, C. CHRISTOPHER",1,2,0
"79",1,"COYNE, WILLIAM J.",0,0,100
"80",2,"CRAMER, BUD",1,1,63
"81",2,"CRANE, PHILIP M.",7,8,0
"82",2,"CRAPO, MICHAEL D.",3,5,0
"83",2,"CUBIN, BARBARA",0,2,0
"84",1,"CUMMINGS, ELIJAH E.",1,1,100
"85",2,"CUNNINGHAM, RANDY (DUKE)",2,3,0
"86",1,"DANNER, PAT",2,4,63
"87",1,"DAVIS, DANNY K.",0,2,100
"88",1,"DAVIS, JIM",0,2,88
"89",2,"DAVIS, THOMAS M.",2,3,63
"90",2,"DEAL, NATHAN",3,4,0
"91",1,"DEFAZIO, PETER A.",0,0,100
"92",1,"DEGETTE, DIANA L.",2,2,100
"93",1,"DELAHUNT, WILLIAM D.",2,2,100
"94",1,"DELAURO, ROSA L.",2,3,100
"95",2,"DELAY, THOMAS D.",1,1,0
"96",1,"DELLUMS, RONALD V.",2,3,100
"97",1,"DEUTSCH, PETER",1,2,100
"98",2,"DIAZ-BALART, LINCOLN",0,2,25
"99",2,"DICKEY, JAY",2,4,13
"100",1,"DICKS, NORMAN",0,2,100
"101",1,"DINGELL, JOHN DAVID, JR.",2,4,63
"102",1,"DIXON, JULIAN CAREY",0,1,100
"103",1,"DOGGETT, LLOYD",2,2,100
"104",1,"DOOLEY, CALVIN",2,2,100
"105",2,"DOOLITTLE, JOHN T.",1,2,0
"106",1,"DOYLE, MICHAEL F.",1,4,50
"107",2,"DREIER, DAVID",0,0,0
"108",2,"DUNCAN, JOHN J., JR.",2,4,0
"109",2,"DUNN, JENNIFER",0,2,0
"110",1,"EDWARDS, CHET",0,1,100
"111",2,"EHLERS, VERNON J.",2,4,25
"112",2,"EHRLICH, ROBERT L., JR.",0,0,25
"113",2,"EMERSON, JOANN",4,4,0
"114",1,"ENGEL, ELIOT L.",1,3,100
"115",2,"ENGLISH, PHILIP S.",0,0,38
"116",2,"ENSIGN, JOHN E.",1,2,25
"117",1,"ESHOO, ANNA G.",1,2,100
"118",1,"ETHERIDGE, BOBBY R.",1,3,88
"119",1,"EVANS, LANE",0,0,100
"120",2,"EVERETT, TERRY",0,0,0
"121",2,"EWING, THOMAS W.",4,6,0
"122",1,"FARR, SAM",1,1,100
"123",1,"FATTAH, CHAKA",2,3,88
"124",2,"FAWELL, HARRIS W.",1,3,38
"125",1,"FAZIO, VICTOR HERBERT",3,4,100
"126",1,"FILNER, BOB",1,2,100
"127",1,"FLAKE, FLOYD H.",2,4,40
"128",1,"FOGLIETTA, THOMAS M.",0,0,60
"129",2,"FOLEY, MARK",0,0,13
"130",2,"FORBES, MICHAEL P.",1,2,25
"131",1,"FORD, HAROLD, JR.",0,0,100
"132",2,"FOWLER, TILLIE",2,2,13
"133",2,"FOX, JON D.",0,0,25
"134",1,"FRANK, BARNEY",0,0,100
"135",2,"FRANKS, ROBERT",0,0,25
"136",2,"FRELINGHUYSEN, RODNEY",2,2,38
"137",1,"FROST, JONAS MARTIN, III",3,3,88
"138",1,"FURSE, ELIZABETH",1,2,100
"139",2,"GALLEGLY, ELTON",1,4,0
"140",2,"GANSKE, JOHN G.",2,3,13
"141",1,"GEJDENSON, SAMUEL",1,2,100
"142",2,"GEKAS, GEORGE W.",0,0,0
"143",1,"GEPHARDT, RICHARD",2,3,88
"144",2,"GIBBONS, JAMES A.",1,3,25
"145",2,"GILCHREST, WAYNE T.",1,3,50
"146",2,"GILLMOR, PAUL E.",2,5,0
"147",2,"GILMAN, BENJAMIN",1,3,88
"148",2,"GINGRICH, NEWTON LEROY",2,2,0
"149",1,"GONZALEZ, HENRY B.",4,8,13
"150",1,"GOODE, VIRGIL H., JR.",1,1,38
"151",2,"GOODLATTE, ROBERT W.",1,2,13
"152",2,"GOODLING, WILLIAM",1,2,0
"153",1,"GORDON, BART J.",0,0,75
"154",2,"GOSS, PORTER J.",1,4,0
"155",2,"GRAHAM, LINDSEY",0,0,0
"156",2,"GRANGER, KAY",1,3,13
"157",1,"GREEN, GENE",1,2,100
"158",2,"GREENWOOD, JIM",2,4,38
"159",1,"GUTIERREZ, LUIS V.",2,2,100
"160",2,"GUTKNECHT, GILBERT",2,3,0
"161",1,"HALL, RALPH M.",0,3,13
"162",1,"HALL, TONY PATRICK",1,1,50
"163",1,"HAMILTON, LEE H.",2,3,63
"164",2,"HANSEN, JAMES V.",2,5,0
"165",1,"HARMAN, JANE",2,4,100
"166",2,"HASTERT, DENNIS J.",0,2,0
"167",1,"HASTINGS, ALCEE L.",2,3,88
"168",2,"HASTINGS, RICHARD",2,3,0
"169",2,"HAYWORTH, J.D.",2,3,0
"170",2,"HEFLEY, JOEL M.",3,3,0
"171",1,"HEFNER, W.G. (BILL)",2,2,88
"172",2,"HERGER, WALTER",3,8,0
"173",2,"HILL, RICK",0,3,0
"174",2,"HILLEARY, WILLIAM",0,0,0
"175",1,"HILLIARD, EARL F.",1,2,100
"176",1,"HINCHEY, MAURICE D.",1,3,100
"177",1,"HINOJOSA, RUBEN E.",4,5,88
"178",2,"HOBSON, DAVID L.",2,3,25
"179",2,"HOEKSTRA, PETER",2,3,0
"180",1,"HOLDEN, TIM",0,0,50
"181",1,"HOOLEY, DARLENE KAY",1,2,100
"182",2,"HORN, STEVE",1,2,63
"183",2,"HOSTETTLER, JOHN",2,4,0
"184",2,"HOUGHTON, AMORY, JR.",0,0,75
"185",1,"HOYER, STENY H.",3,3,100
"186",2,"HULSHOF, KENNY",0,0,0
